image_name,cone_count,total_area_pixels,individual_areas
cone_0260.png,15,25221,cone_1: 3205px | cone_2: 2248px | cone_3: 4315px | cone_4: 3768px | cone_5: 1028px | cone_6: 4401px | cone_7: 1315px | cone_8: 339px | cone_9: 823px | cone_10: 853px | cone_11: 524px | cone_12: 396px | cone_13: 633px | cone_14: 666px | cone_15: 707px
cone_0240.png,16,26549,cone_1: 5969px | cone_2: 4884px | cone_3: 2358px | cone_4: 606px | cone_5: 1415px | cone_6: 3779px | cone_7: 2722px | cone_8: 640px | cone_9: 377px | cone_10: 228px | cone_11: 391px | cone_12: 248px | cone_13: 937px | cone_14: 255px | cone_15: 406px | cone_16: 1334px
cone_0275.png,17,28218,cone_1: 2753px | cone_2: 1721px | cone_3: 5375px | cone_4: 1139px | cone_5: 503px | cone_6: 956px | cone_7: 399px | cone_8: 1359px | cone_9: 712px | cone_10: 952px | cone_11: 7689px | cone_12: 481px | cone_13: 887px | cone_14: 504px | cone_15: 723px | cone_16: 1345px | cone_17: 720px
cone_0280.png,9,28972,cone_1: 12168px | cone_2: 2487px | cone_3: 1156px | cone_4: 4520px | cone_5: 4096px | cone_6: 1583px | cone_7: 1293px | cone_8: 975px | cone_9: 694px
cone_0325.png,2,29133,cone_1: 14572px | cone_2: 14561px
cone_0250.png,13,29738,cone_1: 8516px | cone_2: 3531px | cone_3: 1082px | cone_4: 469px | cone_5: 1657px | cone_6: 414px | cone_7: 403px | cone_8: 6252px | cone_9: 293px | cone_10: 828px | cone_11: 2990px | cone_12: 316px | cone_13: 2987px
cone_0315.png,3,30023,cone_1: 6492px | cone_2: 2928px | cone_3: 20603px
cone_0235.png,19,30644,cone_1: 2829px | cone_2: 6770px | cone_3: 6996px | cone_4: 944px | cone_5: 3401px | cone_6: 1801px | cone_7: 499px | cone_8: 1068px | cone_9: 307px | cone_10: 286px | cone_11: 468px | cone_12: 744px | cone_13: 570px | cone_14: 267px | cone_15: 482px | cone_16: 1773px | cone_17: 223px | cone_18: 269px | cone_19: 947px
cone_0310.png,4,32229,cone_1: 3197px | cone_2: 1812px | cone_3: 7615px | cone_4: 19605px
cone_0245.png,16,40842,cone_1: 1937px | cone_2: 4469px | cone_3: 2059px | cone_4: 1248px | cone_5: 3684px | cone_6: 352px | cone_7: 5572px | cone_8: 227px | cone_9: 372px | cone_10: 405px | cone_11: 698px | cone_12: 216px | cone_13: 9218px | cone_14: 668px | cone_15: 580px | cone_16: 9137px
